Country,Year ending,Activities,Value
Germany,YEJun 2014,"Air activities such as paragliding, hang gliding, ballooning, skydiving",9496
Germany,YEJun 2015,"Air activities such as paragliding, hang gliding, ballooning, skydiving",10502
Germany,YEMar 1998,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1074
Germany,YEMar 1999,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1086
Germany,YEMar 2000,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1641
Germany,YEMar 2001,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1268
Germany,YEMar 2002,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2073
Germany,YEMar 2003,"Air activities such as paragliding, hang gliding, ballooning, skydiving",6671
Germany,YEMar 2004,"Air activities such as paragliding, hang gliding, ballooning, skydiving",6257
Germany,YEMar 2005,"Air activities such as paragliding, hang gliding, ballooning, skydiving",4900
Germany,YEMar 2006,"Air activities such as paragliding, hang gliding, ballooning, skydiving",6153
Germany,YEMar 2007,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2200
Germany,YEMar 2008,"Air activities such as paragliding, hang gliding, ballooning, skydiving",7263
Germany,YEMar 2009,"Air activities such as paragliding, hang gliding, ballooning, skydiving",5792
Germany,YEMar 2010,"Air activities such as paragliding, hang gliding, ballooning, skydiving",5789
Germany,YEMar 2011,"Air activities such as paragliding, hang gliding, ballooning, skydiving",6206
Germany,YEMar 2012,"Air activities such as paragliding, hang gliding, ballooning, skydiving",4748
Germany,YEMar 2013,"Air activities such as paragliding, hang gliding, ballooning, skydiving",5318
Germany,YEMar 2014,"Air activities such as paragliding, hang gliding, ballooning, skydiving",6979
Germany,YEMar 2015,"Air activities such as paragliding, hang gliding, ballooning, skydiving",11069
Germany,YEMar 2016,"Air activities such as paragliding, hang gliding, ballooning, skydiving",12715
Germany,YESep 1998,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1074
Germany,YESep 1999,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1086
Germany,YESep 2000,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1928
Germany,YESep 2001,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1295
Germany,YESep 2002,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2100
Germany,YESep 2003,"Air activities such as paragliding, hang gliding, ballooning, skydiving",8177
Germany,YESep 2004,"Air activities such as paragliding, hang gliding, ballooning, skydiving",6162
Germany,YESep 2005,"Air activities such as paragliding, hang gliding, ballooning, skydiving",4876
Germany,YESep 2006,"Air activities such as paragliding, hang gliding, ballooning, skydiving",5854
Germany,YESep 2007,"Air activities such as paragliding, hang gliding, ballooning, skydiving",3195
Germany,YESep 2008,"Air activities such as paragliding, hang gliding, ballooning, skydiving",7564
Germany,YESep 2009,"Air activities such as paragliding, hang gliding, ballooning, skydiving",6346
Germany,YESep 2010,"Air activities such as paragliding, hang gliding, ballooning, skydiving",4695
Germany,YESep 2011,"Air activities such as paragliding, hang gliding, ballooning, skydiving",7049
Germany,YESep 2012,"Air activities such as paragliding, hang gliding, ballooning, skydiving",4749
Germany,YESep 2013,"Air activities such as paragliding, hang gliding, ballooning, skydiving",4258
Germany,YESep 2014,"Air activities such as paragliding, hang gliding, ballooning, skydiving",9942
Germany,YESep 2015,"Air activities such as paragliding, hang gliding, ballooning, skydiving",9730
Japan,YEDec 1997,"Air activities such as paragliding, hang gliding, ballooning, skydiving",496
Japan,YEDec 1998,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2399
Japan,YEDec 1999,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1389
Japan,YEDec 2000,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1202
Japan,YEDec 2001,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1474
Japan,YEDec 2002,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1791
Japan,YEDec 2003,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2951
Japan,YEDec 2004,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1110
Japan,YEDec 2005,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1328
Japan,YEDec 2006,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2140
Japan,YEDec 2007,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2636
Japan,YEDec 2008,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2092
Japan,YEDec 2010,"Air activities such as paragliding, hang gliding, ballooning, skydiving",759
Japan,YEDec 2011,"Air activities such as paragliding, hang gliding, ballooning, skydiving",857
Japan,YEDec 2012,"Air activities such as paragliding, hang gliding, ballooning, skydiving",745
Japan,YEDec 2013,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2468
Japan,YEDec 2014,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2572
Japan,YEDec 2015,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2503
Japan,YEJun 1998,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1303
Japan,YEJun 1999,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2141
Japan,YEJun 2000,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1215
Japan,YEJun 2001,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2010
Japan,YEJun 2002,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1248
Japan,YEJun 2003,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1831
Japan,YEJun 2004,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1818
Japan,YEJun 2005,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1938
Japan,YEJun 2006,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1724
Japan,YEJun 2007,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2446
Japan,YEJun 2008,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2441
Japan,YEJun 2009,"Air activities such as paragliding, hang gliding, ballooning, skydiving",602
Japan,YEJun 2010,"Air activities such as paragliding, hang gliding, ballooning, skydiving",553
Japan,YEJun 2011,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1064
Japan,YEJun 2012,"Air activities such as paragliding, hang gliding, ballooning, skydiving",745
Japan,YEJun 2013,"Air activities such as paragliding, hang gliding, ballooning, skydiving",771
Japan,YEJun 2014,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2870
Japan,YEJun 2015,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2985
Japan,YEMar 1998,"Air activities such as paragliding, hang gliding, ballooning, skydiving",907
Japan,YEMar 1999,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2355
Japan,YEMar 2000,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1185
Japan,YEMar 2001,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1744
Japan,YEMar 2002,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1724
Japan,YEMar 2003,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1733
Japan,YEMar 2004,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1885
Japan,YEMar 2005,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1736
Japan,YEMar 2006,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1547
Japan,YEMar 2007,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2560
Japan,YEMar 2008,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2738
Japan,YEMar 2009,"Air activities such as paragliding, hang gliding, ballooning, skydiving",602
Japan,YEMar 2010,"Air activities such as paragliding, hang gliding, ballooning, skydiving",509
Japan,YEMar 2011,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1104
Japan,YEMar 2012,"Air activities such as paragliding, hang gliding, ballooning, skydiving",747
Japan,YEMar 2013,"Air activities such as paragliding, hang gliding, ballooning, skydiving",431
Japan,YEMar 2014,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2899
Japan,YEMar 2015,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2534
Japan,YEMar 2016,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1682
Japan,YESep 1998,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1768
Japan,YESep 1999,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2224
Japan,YESep 2000,"Air activities such as paragliding, hang gliding, ballooning, skydiving",666
Japan,YESep 2001,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2010
Japan,YESep 2002,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1539
Japan,YESep 2003,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1744
Japan,YESep 2004,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1832
Japan,YESep 2005,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1981
Japan,YESep 2006,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1462
Japan,YESep 2007,"Air activities such as paragliding, hang gliding, ballooning, skydiving",3397
Japan,YESep 2008,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1669
Japan,YESep 2009,"Air activities such as paragliding, hang gliding, ballooning, skydiving",423
Japan,YESep 2010,"Air activities such as paragliding, hang gliding, ballooning, skydiving",553
Japan,YESep 2011,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1064
Japan,YESep 2012,"Air activities such as paragliding, hang gliding, ballooning, skydiving",745
Japan,YESep 2013,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1913
Japan,YESep 2014,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2488
Japan,YESep 2015,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2497
"Korea, Republic of",YEDec 1997,"Air activities such as paragliding, hang gliding, ballooning, skydiving",382
"Korea, Republic of",YEDec 2000,"Air activities such as paragliding, hang gliding, ballooning, skydiving",371
"Korea, Republic of",YEDec 2001,"Air activities such as paragliding, hang gliding, ballooning, skydiving",484
"Korea, Republic of",YEDec 2002,"Air activities such as paragliding, hang gliding, ballooning, skydiving",366
"Korea, Republic of",YEDec 2003,"Air activities such as paragliding, hang gliding, ballooning, skydiving",3457
"Korea, Republic of",YEDec 2004,"Air activities such as paragliding, hang gliding, ballooning, skydiving",302
"Korea, Republic of",YEDec 2005,"Air activities such as paragliding, hang gliding, ballooning, skydiving",605
"Korea, Republic of",YEDec 2006,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1414
"Korea, Republic of",YEDec 2007,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2273
"Korea, Republic of",YEDec 2008,"Air activities such as paragliding, hang gliding, ballooning, skydiving",93
"Korea, Republic of",YEDec 2009,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1559
"Korea, Republic of",YEDec 2010,"Air activities such as paragliding, hang gliding, ballooning, skydiving",339
"Korea, Republic of",YEDec 2011,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2500
"Korea, Republic of",YEDec 2012,"Air activities such as paragliding, hang gliding, ballooning, skydiving",713
"Korea, Republic of",YEDec 2013,"Air activities such as paragliding, hang gliding, ballooning, skydiving",4288
"Korea, Republic of",YEDec 2014,"Air activities such as paragliding, hang gliding, ballooning, skydiving",3304
"Korea, Republic of",YEDec 2015,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1228
"Korea, Republic of",YEJun 1998,"Air activities such as paragliding, hang gliding, ballooning, skydiving",207
"Korea, Republic of",YEJun 2000,"Air activities such as paragliding, hang gliding, ballooning, skydiving",371
"Korea, Republic of",YEJun 2001,"Air activities such as paragliding, hang gliding, ballooning, skydiving",484
"Korea, Republic of",YEJun 2002,"Air activities such as paragliding, hang gliding, ballooning, skydiving",366
"Korea, Republic of",YEJun 2003,"Air activities such as paragliding, hang gliding, ballooning, skydiving",3369
"Korea, Republic of",YEJun 2004,"Air activities such as paragliding, hang gliding, ballooning, skydiving",308
"Korea, Republic of",YEJun 2005,"Air activities such as paragliding, hang gliding, ballooning, skydiving",462
"Korea, Republic of",YEJun 2006,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1250
"Korea, Republic of",YEJun 2007,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2270
"Korea, Republic of",YEJun 2008,"Air activities such as paragliding, hang gliding, ballooning, skydiving",391
"Korea, Republic of",YEJun 2009,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1027
"Korea, Republic of",YEJun 2010,"Air activities such as paragliding, hang gliding, ballooning, skydiving",745
"Korea, Republic of",YEJun 2011,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1932
"Korea, Republic of",YEJun 2012,"Air activities such as paragliding, hang gliding, ballooning, skydiving",932
"Korea, Republic of",YEJun 2013,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2662
"Korea, Republic of",YEJun 2014,"Air activities such as paragliding, hang gliding, ballooning, skydiving",3814
"Korea, Republic of",YEJun 2015,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2401
"Korea, Republic of",YEMar 1998,"Air activities such as paragliding, hang gliding, ballooning, skydiving",382
"Korea, Republic of",YEMar 2000,"Air activities such as paragliding, hang gliding, ballooning, skydiving",371
"Korea, Republic of",YEMar 2001,"Air activities such as paragliding, hang gliding, ballooning, skydiving",484
"Korea, Republic of",YEMar 2002,"Air activities such as paragliding, hang gliding, ballooning, skydiving",366
"Korea, Republic of",YEMar 2003,"Air activities such as paragliding, hang gliding, ballooning, skydiving",3369
"Korea, Republic of",YEMar 2004,"Air activities such as paragliding, hang gliding, ballooning, skydiving",308
"Korea, Republic of",YEMar 2005,"Air activities such as paragliding, hang gliding, ballooning, skydiving",339
"Korea, Republic of",YEMar 2006,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1292
"Korea, Republic of",YEMar 2007,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2300
"Korea, Republic of",YEMar 2008,"Air activities such as paragliding, hang gliding, ballooning, skydiving",442
"Korea, Republic of",YEMar 2009,"Air activities such as paragliding, hang gliding, ballooning, skydiving",963
"Korea, Republic of",YEMar 2010,"Air activities such as paragliding, hang gliding, ballooning, skydiving",689
"Korea, Republic of",YEMar 2011,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2051
"Korea, Republic of",YEMar 2012,"Air activities such as paragliding, hang gliding, ballooning, skydiving",932
"Korea, Republic of",YEMar 2013,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2610
"Korea, Republic of",YEMar 2014,"Air activities such as paragliding, hang gliding, ballooning, skydiving",3351
"Korea, Republic of",YEMar 2015,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2201
"Korea, Republic of",YEMar 2016,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2063
"Korea, Republic of",YESep 1998,"Air activities such as paragliding, hang gliding, ballooning, skydiving",207
"Korea, Republic of",YESep 2000,"Air activities such as paragliding, hang gliding, ballooning, skydiving",371
"Korea, Republic of",YESep 2001,"Air activities such as paragliding, hang gliding, ballooning, skydiving",484
"Korea, Republic of",YESep 2002,"Air activities such as paragliding, hang gliding, ballooning, skydiving",366
"Korea, Republic of",YESep 2003,"Air activities such as paragliding, hang gliding, ballooning, skydiving",3457
"Korea, Republic of",YESep 2004,"Air activities such as paragliding, hang gliding, ballooning, skydiving",302
"Korea, Republic of",YESep 2005,"Air activities such as paragliding, hang gliding, ballooning, skydiving",438
"Korea, Republic of",YESep 2006,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1317
"Korea, Republic of",YESep 2007,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2537
"Korea, Republic of",YESep 2008,"Air activities such as paragliding, hang gliding, ballooning, skydiving",93
"Korea, Republic of",YESep 2009,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1433
"Korea, Republic of",YESep 2010,"Air activities such as paragliding, hang gliding, ballooning, skydiving",247
"Korea, Republic of",YESep 2011,"Air activities such as paragliding, hang gliding, ballooning, skydiving",2305
"Korea, Republic of",YESep 2012,"Air activities such as paragliding, hang gliding, ballooning, skydiving",812
"Korea, Republic of",YESep 2013,"Air activities such as paragliding, hang gliding, ballooning, skydiving",3150
"Korea, Republic of",YESep 2014,"Air activities such as paragliding, hang gliding, ballooning, skydiving",3810
"Korea, Republic of",YESep 2015,"Air activities such as paragliding, hang gliding, ballooning, skydiving",1969
UK,YEMar 1998,"Air activities such as paragliding, hang gliding, ballooning, skydiving",4002
UK,YEMar 1999,"Air activities such as paragliding, hang gliding, ballooning, skydiving",9711
UK,YEMar 2000,"Air activities such as paragliding, hang gliding, ballooning, skydiving",10140
UK,YEMar 2001,"Air activities such as paragliding, hang gliding, ballooning, skydiving",12819
Australia,YEDec 2013,Auckland Art Gallery,23607
Australia,YEDec 2014,Auckland Art Gallery,30059
Australia,YEDec 2015,Auckland Art Gallery,40568
Australia,YEJun 2014,Auckland Art Gallery,43032
Australia,YEJun 2015,Auckland Art Gallery,37573
Australia,YEMar 2014,Auckland Art Gallery,34381
Australia,YEMar 2015,Auckland Art Gallery,35242
Australia,YEMar 2016,Auckland Art Gallery,37247
Australia,YESep 2013,Auckland Art Gallery,12919
Australia,YESep 2014,Auckland Art Gallery,37180
Australia,YESep 2015,Auckland Art Gallery,35120
Canada,YEDec 2013,Auckland Art Gallery,1340
Canada,YEDec 2014,Auckland Art Gallery,3631
Canada,YEDec 2015,Auckland Art Gallery,3224
Canada,YEJun 2014,Auckland Art Gallery,2967
Canada,YEJun 2015,Auckland Art Gallery,3961
Canada,YEMar 2014,Auckland Art Gallery,2242
Canada,YEMar 2015,Auckland Art Gallery,3573
Canada,YEMar 2016,Auckland Art Gallery,4188
Canada,YESep 2013,Auckland Art Gallery,518
Canada,YESep 2014,Auckland Art Gallery,3254
Canada,YESep 2015,Auckland Art Gallery,3680
China,YEDec 2013,Auckland Art Gallery,6134
China,YEDec 2014,Auckland Art Gallery,18192
China,YEDec 2015,Auckland Art Gallery,17094
China,YEJun 2014,Auckland Art Gallery,15599
China,YEJun 2015,Auckland Art Gallery,14666
China,YEMar 2014,Auckland Art Gallery,13935
China,YEMar 2015,Auckland Art Gallery,12125
China,YEMar 2016,Auckland Art Gallery,19686
China,YESep 2013,Auckland Art Gallery,1536
China,YESep 2014,Auckland Art Gallery,18574
China,YESep 2015,Auckland Art Gallery,14771
Germany,YEDec 2013,Auckland Art Gallery,1529
Germany,YEDec 2014,Auckland Art Gallery,10112
Germany,YEDec 2015,Auckland Art Gallery,12750
Germany,YEJun 2014,Auckland Art Gallery,8538
Germany,YEJun 2015,Auckland Art Gallery,12250
Germany,YEMar 2014,Auckland Art Gallery,6184
Germany,YEMar 2015,Auckland Art Gallery,11082
Germany,YEMar 2016,Auckland Art Gallery,9773
Germany,YESep 2013,Auckland Art Gallery,316
Germany,YESep 2014,Auckland Art Gallery,9566
Germany,YESep 2015,Auckland Art Gallery,12279
Japan,YEDec 2013,Auckland Art Gallery,1766
Japan,YEDec 2014,Auckland Art Gallery,6783
Japan,YEDec 2015,Auckland Art Gallery,6836
Japan,YEJun 2014,Auckland Art Gallery,6163
Japan,YEJun 2015,Auckland Art Gallery,6180
Japan,YEMar 2014,Auckland Art Gallery,4810
Japan,YEMar 2015,Auckland Art Gallery,5033
Japan,YEMar 2016,Auckland Art Gallery,7946
Japan,YESep 2013,Auckland Art Gallery,543
Japan,YESep 2014,Auckland Art Gallery,6866
Japan,YESep 2015,Auckland Art Gallery,7079
"Korea, Republic of",YEDec 2013,Auckland Art Gallery,2066
"Korea, Republic of",YEDec 2014,Auckland Art Gallery,3114
"Korea, Republic of",YEDec 2015,Auckland Art Gallery,2586
"Korea, Republic of",YEJun 2014,Auckland Art Gallery,3576
"Korea, Republic of",YEJun 2015,Auckland Art Gallery,2701
"Korea, Republic of",YEMar 2014,Auckland Art Gallery,2872
"Korea, Republic of",YEMar 2015,Auckland Art Gallery,2513
"Korea, Republic of",YEMar 2016,Auckland Art Gallery,3869
"Korea, Republic of",YESep 2013,Auckland Art Gallery,714
"Korea, Republic of",YESep 2014,Auckland Art Gallery,3260
"Korea, Republic of",YESep 2015,Auckland Art Gallery,2952
Australia,YEDec 2013,Auckland Museum,50631
Australia,YEDec 2014,Auckland Museum,68339
Australia,YEDec 2015,Auckland Museum,72155
Australia,YEJun 2014,Auckland Museum,86464
Australia,YEJun 2015,Auckland Museum,72777
Australia,YEMar 2014,Auckland Museum,72278
Australia,YEMar 2015,Auckland Museum,71787
Australia,YEMar 2016,Auckland Museum,79162
Australia,YESep 2013,Auckland Museum,28930
Australia,YESep 2014,Auckland Museum,77754
Australia,YESep 2015,Auckland Museum,62640
Canada,YEDec 2013,Auckland Museum,2705
Canada,YEDec 2014,Auckland Museum,8850
Canada,YEDec 2015,Auckland Museum,5958
Canada,YEJun 2014,Auckland Museum,7891
Canada,YEJun 2015,Auckland Museum,7016
Canada,YEMar 2014,Auckland Museum,6956
Canada,YEMar 2015,Auckland Museum,5981
Canada,YEMar 2016,Auckland Museum,7412
Canada,YESep 2013,Auckland Museum,785
Canada,YESep 2014,Auckland Museum,8340
Canada,YESep 2015,Auckland Museum,6597
China,YEDec 2013,Auckland Museum,12320
China,YEDec 2014,Auckland Museum,34246
China,YEDec 2015,Auckland Museum,27329
China,YEJun 2014,Auckland Museum,31065
China,YEJun 2015,Auckland Museum,26585
China,YEMar 2014,Auckland Museum,25176
China,YEMar 2015,Auckland Museum,24467
China,YEMar 2016,Auckland Museum,42936
China,YESep 2013,Auckland Museum,3676
China,YESep 2014,Auckland Museum,35416
China,YESep 2015,Auckland Museum,26044
Germany,YEDec 2013,Auckland Museum,4089
Germany,YEDec 2014,Auckland Museum,14602
Germany,YEDec 2015,Auckland Museum,18861
Germany,YEJun 2014,Auckland Museum,13539
Germany,YEJun 2015,Auckland Museum,16788
Germany,YEMar 2014,Auckland Museum,9644
Germany,YEMar 2015,Auckland Museum,16136
Germany,YEMar 2016,Auckland Museum,17572
Germany,YESep 2013,Auckland Museum,1210
Germany,YESep 2014,Auckland Museum,14318
Germany,YESep 2015,Auckland Museum,17065
Japan,YEDec 2013,Auckland Museum,4774
Japan,YEDec 2014,Auckland Museum,11822
Japan,YEDec 2015,Auckland Museum,10318
Japan,YEJun 2014,Auckland Museum,10769
Japan,YEJun 2015,Auckland Museum,10657
Japan,YEMar 2014,Auckland Museum,8768
Japan,YEMar 2015,Auckland Museum,10057
Japan,YEMar 2016,Auckland Museum,12774
Japan,YESep 2013,Auckland Museum,1175
Japan,YESep 2014,Auckland Museum,12345
Japan,YESep 2015,Auckland Museum,11227
"Korea, Republic of",YEDec 2013,Auckland Museum,3293
"Korea, Republic of",YEDec 2014,Auckland Museum,7654
"Korea, Republic of",YEDec 2015,Auckland Museum,7182
"Korea, Republic of",YEJun 2014,Auckland Museum,7369
"Korea, Republic of",YEJun 2015,Auckland Museum,6158
"Korea, Republic of",YEMar 2014,Auckland Museum,6028
"Korea, Republic of",YEMar 2015,Auckland Museum,5205
"Korea, Republic of",YEMar 2016,Auckland Museum,9352
"Korea, Republic of",YESep 2013,Auckland Museum,1151
"Korea, Republic of",YESep 2014,Auckland Museum,7565
"Korea, Republic of",YESep 2015,Auckland Museum,6686
Australia,YEDec 1997,Bungy jumping,9028
Australia,YEDec 1998,Bungy jumping,15194
Australia,YEDec 1999,Bungy jumping,17622
Australia,YEDec 2000,Bungy jumping,15131
Australia,YEDec 2001,Bungy jumping,18456
Australia,YEDec 2002,Bungy jumping,14510
Australia,YEDec 2003,Bungy jumping,19577
Australia,YEDec 2004,Bungy jumping,24907
Australia,YEDec 2005,Bungy jumping,33671
Australia,YEDec 2006,Bungy jumping,24000
Australia,YEDec 2007,Bungy jumping,32328
Australia,YEDec 2008,Bungy jumping,22343
Australia,YEDec 2009,Bungy jumping,25919
Australia,YEDec 2010,Bungy jumping,22460
Australia,YEDec 2011,Bungy jumping,22413
Australia,YEDec 2012,Bungy jumping,21711
Australia,YEDec 2013,Bungy jumping,27933
Australia,YEDec 2014,Bungy jumping,45216
Australia,YEDec 2015,Bungy jumping,39062
Australia,YEJun 1998,Bungy jumping,10614
Australia,YEJun 1999,Bungy jumping,15141
Australia,YEJun 2000,Bungy jumping,16990
Australia,YEJun 2001,Bungy jumping,18606
Australia,YEJun 2002,Bungy jumping,15161
Australia,YEJun 2003,Bungy jumping,21662
Australia,YEJun 2004,Bungy jumping,18974
Australia,YEJun 2005,Bungy jumping,23409
Australia,YEJun 2006,Bungy jumping,31861
Australia,YEJun 2007,Bungy jumping,23563
Australia,YEJun 2008,Bungy jumping,37715
Australia,YEJun 2009,Bungy jumping,18825
Australia,YEJun 2010,Bungy jumping,26769
Australia,YEJun 2011,Bungy jumping,20039
Australia,YEJun 2012,Bungy jumping,23245
Australia,YEJun 2013,Bungy jumping,20690
Australia,YEJun 2014,Bungy jumping,45989
Australia,YEJun 2015,Bungy jumping,33597
Australia,YEMar 1998,Bungy jumping,11429
Australia,YEMar 1999,Bungy jumping,16557
Australia,YEMar 2000,Bungy jumping,15342
Australia,YEMar 2001,Bungy jumping,16881
Australia,YEMar 2002,Bungy jumping,17214
Australia,YEMar 2003,Bungy jumping,22279
Australia,YEMar 2004,Bungy jumping,15961
Australia,YEMar 2005,Bungy jumping,25360
Australia,YEMar 2006,Bungy jumping,32886
Australia,YEMar 2007,Bungy jumping,21752
Australia,YEMar 2008,Bungy jumping,37463
Australia,YEMar 2009,Bungy jumping,17530
Australia,YEMar 2010,Bungy jumping,26851
Australia,YEMar 2011,Bungy jumping,23817
Australia,YEMar 2012,Bungy jumping,19202
Australia,YEMar 2013,Bungy jumping,21969
Australia,YEMar 2014,Bungy jumping,43761
Australia,YEMar 2015,Bungy jumping,37591
Canada,YEDec 1997,Bungy jumping,1914
Canada,YEDec 1998,Bungy jumping,2391
Canada,YEDec 1999,Bungy jumping,1520
Canada,YEDec 2000,Bungy jumping,2654
Canada,YEDec 2001,Bungy jumping,2692
Canada,YEDec 2002,Bungy jumping,2933
Canada,YEDec 2003,Bungy jumping,3411
Canada,YEDec 2004,Bungy jumping,2344
Canada,YEDec 2005,Bungy jumping,4072
Canada,YEDec 2006,Bungy jumping,3454
Canada,YEDec 2007,Bungy jumping,1919
Canada,YEDec 2008,Bungy jumping,1848
Canada,YEDec 2009,Bungy jumping,1604
Canada,YEDec 2010,Bungy jumping,2304
Canada,YEDec 2011,Bungy jumping,2973
Canada,YEDec 2012,Bungy jumping,2535
Canada,YEDec 2013,Bungy jumping,2578
Canada,YEDec 2014,Bungy jumping,2751
Canada,YEDec 2015,Bungy jumping,2157
Canada,YEJun 1998,Bungy jumping,3103
Canada,YEJun 1999,Bungy jumping,1478
Canada,YEJun 2000,Bungy jumping,2111
Canada,YEJun 2001,Bungy jumping,3110
Canada,YEJun 2002,Bungy jumping,2486
Canada,YEJun 2003,Bungy jumping,4130
Canada,YEJun 2004,Bungy jumping,1976
Canada,YEJun 2005,Bungy jumping,3663
Canada,YEJun 2006,Bungy jumping,2924
Canada,YEJun 2007,Bungy jumping,3422
Canada,YEJun 2008,Bungy jumping,1214
Canada,YEJun 2009,Bungy jumping,1721
Canada,YEJun 2010,Bungy jumping,2149
Canada,YEJun 2011,Bungy jumping,3173
Canada,YEJun 2012,Bungy jumping,2465
Canada,YEJun 2013,Bungy jumping,1868
Canada,YEJun 2014,Bungy jumping,3351
Canada,YEJun 2015,Bungy jumping,2158
Canada,YEMar 1998,Bungy jumping,2839
Canada,YEMar 1999,Bungy jumping,1040
Canada,YEMar 2000,Bungy jumping,2611
Canada,YEMar 2001,Bungy jumping,2013
Canada,YEMar 2002,Bungy jumping,3308
Canada,YEMar 2003,Bungy jumping,2229
Canada,YEMar 2004,Bungy jumping,3406
Canada,YEMar 2005,Bungy jumping,3859
Canada,YEMar 2006,Bungy jumping,3063
Canada,YEMar 2007,Bungy jumping,3405
Canada,YEMar 2008,Bungy jumping,1584
Canada,YEMar 2009,Bungy jumping,1157
Canada,YEMar 2010,Bungy jumping,2180
Canada,YEMar 2011,Bungy jumping,2697
